,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
113,Mongolia,MNG,87,78,54,79,77,86,90,92,94,94,94,95,98,98,99,99,98,99,95,96,96,99,99,98,99
114,Montenegro,MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,92,95,91,93,95,94,94,91
115,Morocco,MAR,81,82,87,86,87,90,95,95,93,91,95,93,94,91,97,98,97,95,99,99,99,98,99,99,99
116,Mozambique,MOZ,46,46,50,49,55,57,55,58,62,65,69,72,76,67,69,71,73,75,74,74,73,73,73,78,79
117,Myanmar,MMR,88,66,71,73,77,84,87,90,90,88,88,77,84,86,92,86,82,84,85,90,90,90,87,76,76
118,Namibia,NAM,0,70,70,79,80,73,71,69,74,72,80,79,78,82,81,86,74,81,83,83,83,85,84,89,88
119,Nauru,NRU,74,70,67,63,60,56,46,36,72,64,27,99,59,66,73,80,90,99,99,99,99,99,79,87,95
120,Nepal,NPL,42,45,48,51,54,50,60,70,66,76,74,73,72,76,80,78,91,82,82,93,83,92,90,92,92
121,Netherlands,NLD,97,97,98,97,97,97,97,97,97,97,97,97,97,98,98,96,96,97,97,97,97,97,97,97,96
122,New Zealand,NZL,90,68,68,76,84,87,94,99,82,85,82,82,84,86,87,89,89,88,89,92,93,95,93,92,93
123,Nicaragua,NIC,90,85,84,84,84,83,83,83,83,85,85,89,85,86,80,87,88,93,97,99,99,99,99,99,99
124,Niger,NER,22,19,20,20,20,23,23,25,33,40,41,42,43,44,45,46,52,57,68,71,75,40,71,56,67
125,Nigeria,NGA,55,42,38,28,45,31,26,25,22,27,31,36,40,42,43,45,46,54,60,66,54,48,42,46,49
126,Niue,NIU,99,99,99,99,99,99,99,99,99,99,99,99,99,94,99,85,99,98,99,99,99,98,98,99,99
127,North Korea,PRK,99,98,99,99,93,88,82,76,82,87,93,98,99,99,99,97,98,99,98,98,99,99,99,99,99
128,Norway,NOR,84,93,98,92,93,92,92,91,91,91,91,91,93,92,92,91,94,93,94,94,93,94,95,94,93
129,Oman,OMN,98,95,99,97,97,99,99,99,99,99,99,99,99,99,99,99,98,97,97,96,99,99,99,99,99
130,Pakistan,PAK,54,50,42,37,39,58,46,52,58,61,65,68,71,69,65,78,77,75,70,70,82,75,72,72,72
