,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
55,Eritrea,ERI,49.589001,50.040001,50.544998,51.098999,51.693001,52.311001,52.931999,53.539001,54.125999,54.693001,55.257999,55.847,56.483002,57.174,57.916,58.691002,59.472,60.23,60.939999,61.591,62.181,62.717999,63.220001,63.702999,64.174004
56,Estonia,EST,69.402,69.072998,68.793999,68.616997,68.569,68.660004,68.883003,69.197998,69.569,69.978996,70.408997,70.845001,71.285004,71.727997,72.169998,72.622002,73.103996,73.626999,74.189003,74.778,75.366997,75.919998,76.410004,76.819,77.140999
57,Ethiopia,ETH,47.099998,47.505001,47.911999,48.346001,48.812,49.305,49.811001,50.321999,50.835999,51.366001,51.939999,52.592999,53.347,54.209,55.172001,56.221001,57.333,58.466,59.580002,60.643002,61.625,62.500999,63.275002,63.952,64.535004
58,Fiji,FJI,65.510002,65.731003,65.947998,66.161003,66.370003,66.574997,66.777,66.975998,67.171997,67.364998,67.553001,67.734001,67.910004,68.079002,68.242996,68.404999,68.569,68.737,68.908997,69.086998,69.266998,69.447998,69.625,69.795998,69.959999
59,Finland,FIN,75.253998,75.469002,75.705002,75.954002,76.209999,76.472,76.735001,76.999001,77.262001,77.523003,77.778999,78.028,78.272003,78.511002,78.746002,78.977997,79.209,79.441002,79.675003,79.907997,80.138,80.361,80.573997,80.776001,80.967003
60,France,FRA,76.584,76.831001,77.07,77.302002,77.527,77.747002,77.961998,78.175003,78.389999,78.609001,78.834999,79.072998,79.323997,79.585999,79.856003,80.129997,80.403,80.667999,80.921997,81.162003,81.387001,81.598,81.800003,81.996002,82.184998
63,Gabon,GAB,61.215,61.23,61.152,61.012001,60.832001,60.618999,60.372002,60.095001,59.804001,59.527,59.301998,59.171001,59.153999,59.265999,59.512001,59.889999,60.388,60.969002,61.597,62.247002,62.893002,63.519001,64.119003,64.685997,65.210999
64,Gambia,GMB,52.175999,52.480999,52.785999,53.110001,53.460999,53.844002,54.254002,54.675999,55.097,55.513,55.924,56.328999,56.731998,57.132,57.527,57.914001,58.289001,58.647999,58.991001,59.316002,59.622002,59.910999,60.187,60.452,60.707001
65,Georgia,GEO,70.267998,70.220001,70.195999,70.222,70.306999,70.461998,70.686996,70.966003,71.274002,71.596001,71.906998,72.181999,72.407997,72.574997,72.681999,72.730003,72.730003,72.704002,72.672997,72.650002,72.649002,72.68,72.741997,72.832001,72.950996
66,Germany,DEU,75.488998,75.693001,75.903999,76.127998,76.367996,76.623001,76.890999,77.166,77.442001,77.714996,77.983002,78.246002,78.502998,78.752998,78.994003,79.223,79.433998,79.626999,79.803001,79.962997,80.112999,80.254997,80.396004,80.541,80.691002
67,Ghana,GHA,56.755001,57.16,57.438999,57.583,57.598,57.507,57.347,57.171001,57.032001,56.962002,56.993999,57.146999,57.41,57.761002,58.187,58.666,59.167,59.662998,60.127998,60.549999,60.924,61.254002,61.561001,61.860001,62.153999
68,Greece,GRC,76.551003,76.869003,77.156998,77.403999,77.608002,77.776001,77.922997,78.066002,78.222,78.396004,78.587997,78.794998,79.005997,79.212997,79.412003,79.597,79.764999,79.917,80.056999,80.186996,80.311996,80.439003,80.571999,80.717003,80.874001
69,Grenada,GRD,68.599998,68.764999,68.925003,69.083,69.240997,69.402,69.57,69.748001,69.933998,70.130997,70.336998,70.551003,70.769997,70.990997,71.212997,71.438004,71.667,71.903,72.141998,72.383003,72.617996,72.839996,73.043999,73.226997,73.388
72,Guatemala,GTM,62.261002,62.799,63.352001,63.921001,64.501999,65.089996,65.678001,66.257004,66.817001,67.350998,67.848999,68.304001,68.717003,69.092003,69.436996,69.763,70.084999,70.415001,70.760002,71.122002,71.494003,71.866997,72.226997,72.561996,72.869003
73,Guinea,GIN,49.949001,50.556999,51.032001,51.381001,51.610001,51.716999,51.701,51.591999,51.433998,51.272999,51.181,51.229,51.451,51.859001,52.444,53.169998,53.972,54.775002,55.521,56.185001,56.764999,57.282001,57.782001,58.300999,58.846001
74,Guinea-Bissau,GNB,49.070999,49.441002,49.825001,50.213001,50.598999,50.969002,51.306,51.604,51.860001,52.078999,52.27,52.450001,52.636002,52.845001,53.084,53.356998,53.662998,53.991001,54.333,54.687,55.049999,55.424,55.806999,56.200001,56.598
75,Guyana,GUY,63.290001,63.438,63.599998,63.77,63.945999,64.122002,64.296997,64.466003,64.629997,64.785004,64.93,65.065002,65.192001,65.313004,65.428001,65.538002,65.641998,65.740997,65.835999,65.929001,66.022003,66.116997,66.216003,66.318001,66.425003
76,Haiti,HTI,54.609001,54.953999,55.296001,55.639,55.980999,56.316002,56.634998,56.932999,57.209,57.466999,57.716,57.969002,58.238998,58.535,58.860001,59.219002,59.610001,60.022999,60.448002,60.875999,61.296001,61.699001,62.077999,62.431999,62.757
77,Honduras,HND,66.724998,67.18,67.615997,68.046997,68.475998,68.898003,69.301003,69.671997,70.000999,70.288002,70.537003,70.755997,70.957001,71.150002,71.341003,71.531998,71.723999,71.911003,72.093002,72.269997,72.445999,72.624001,72.805,72.989998,73.181
79,Hungary,HUN,69.327003,69.358002,69.431999,69.566002,69.762001,70.017998,70.325996,70.667,71.021004,71.375999,71.719002,72.040001,72.339996,72.620003,72.883003,73.138,73.399002,73.676003,73.973,74.288002,74.609001,74.917999,75.199997,75.444,75.646004
80,Iceland,ISL,78.078003,78.245003,78.391998,78.522003,78.639999,78.762001,78.906998,79.091003,79.319,79.586998,79.882004,80.182999,80.466003,80.716003,80.927002,81.098999,81.240997,81.370003,81.500999,81.638,81.785004,81.941002,82.101997,82.263,82.425003
81,India,IND,57.915001,58.409,58.915001,59.421001,59.921001,60.408001,60.876999,61.327,61.761002,62.179001,62.582001,62.977001,63.368,63.758999,64.153999,64.556,64.966003,65.383003,65.802002,66.219002,66.625,67.013,67.376999,67.713997,68.021004
82,Indonesia,IDN,63.280998,63.638,63.998001,64.352997,64.700996,65.031998,65.338997,65.616997,65.865997,66.086998,66.285004,66.467003,66.642998,66.82,67.001999,67.191002,67.386002,67.581001,67.775002,67.963997,68.150002,68.331001,68.509003,68.683998,68.856003
83,Iran,IRN,63.827999,65.130997,66.209,67.094002,67.791,68.325996,68.740997,69.092003,69.428001,69.775002,70.143997,70.526001,70.899002,71.249001,71.582001,71.912003,72.259003,72.635002,73.043999,73.481003,73.931999,74.375,74.787003,75.153,75.466003
84,Iraq,IRQ,66.117996,66.735001,67.255997,67.722,68.134003,68.488998,68.776001,68.987,69.122002,69.182999,69.168999,69.081001,68.931999,68.741997,68.537003,68.349998,68.217003,68.155998,68.177002,68.282997,68.464996,68.702003,68.962997,69.219002,69.458
85,Ireland,IRL,74.806999,75.011002,75.192001,75.351997,75.496002,75.639999,75.800003,75.994003,76.232002,76.516998,76.848,77.219002,77.614998,78.017998,78.417,78.801003,79.162003,79.498001,79.806999,80.087997,80.339996,80.564003,80.766998,80.956001,81.134003
86,Israel,ISR,76.584,76.832001,77.072998,77.306,77.533997,77.758003,77.981003,78.206001,78.434998,78.670998,78.916,79.172997,79.440002,79.713997,79.991997,80.268997,80.538002,80.793999,81.033997,81.257004,81.461998,81.652,81.830002,82.001999,82.168999
87,Italy,ITA,76.940002,77.160004,77.380997,77.610001,77.850998,78.106003,78.375999,78.660004,78.950996,79.247002,79.544998,79.841003,80.132004,80.414001,80.683998,80.936996,81.171997,81.387001,81.585999,81.771004,81.945,82.114998,82.282997,82.454002,82.629997
88,Jamaica,JAM,72.065002,72.039001,72.014999,71.996002,71.986,71.989998,72.011002,72.052002,72.115997,72.205002,72.327003,72.487,72.682999,72.911003,73.167,73.445999,73.738998,74.038002,74.334,74.619003,74.883003,75.122002,75.334,75.523003,75.689003
89,Japan,JPN,79.003998,79.18,79.355003,79.536003,79.726997,79.934998,80.162003,80.403999,80.655998,80.914001,81.170998,81.422997,81.663002,81.886002,82.091003,82.275002,82.438004,82.585999,82.722,82.849998,82.973999,83.097,83.222,83.350998,83.484001
90,Jordan,JOR,69.872002,70.112999,70.331001,70.528999,70.711998,70.885002,71.053001,71.219002,71.386002,71.556,71.730003,71.906998,72.083,72.255997,72.427002,72.594002,72.760002,72.924004,73.086998,73.25,73.412003,73.570999,73.728996,73.883003,74.033997
91,Kazakhstan,KAZ,66.775002,66.294998,65.717003,65.096001,64.481003,63.936001,63.52,63.261002,63.167999,63.243999,63.466,63.789001,64.155998,64.524002,64.875,65.220001,65.586998,66.008003,66.496002,67.041,67.612999,68.169998,68.676003,69.101997,69.439003
92,Kenya,KEN,57.535999,56.917999,56.212002,55.449001,54.668999,53.910999,53.205002,52.589001,52.105999,51.805,51.750999,52.004002,52.564999,53.412998,54.513,55.819,57.271,58.784,60.275002,61.68,62.936001,64.008003,64.906998,65.651001,66.241997
93,Kiribati,KIR,60.370998,60.854,61.318001,61.755001,62.158001,62.526001,62.862,63.174,63.469002,63.744999,64.000999,64.231003,64.43,64.598999,64.739998,64.859001,64.960999,65.054001,65.146004,65.244003,65.353996,65.481003,65.623001,65.779999,65.948997
94,Kuwait,KWT,72.079002,72.232002,72.369003,72.496002,72.612999,72.722,72.823997,72.917,73.003998,73.084,73.160004,73.232002,73.300003,73.366997,73.433998,73.504997,73.584,73.669998,73.764,73.867996,73.978996,74.096001,74.217003,74.337997,74.458
95,Kyrgyzstan,KGZ,66.336998,66.339996,66.288002,66.206001,66.113998,66.036003,65.997002,66.007004,66.07,66.184998,66.337997,66.502998,66.656998,66.792,66.912003,67.046997,67.237999,67.514,67.887001,68.346001,68.860001,69.380997,69.861,70.264999,70.578003
