,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
65,Guinea,GIN,1040.0,1010.0,982.0,973.0,967.0,964.0,972.0,975.0,977.0,979.0,976.0,973.0,961.0,928.0,882.0,831.0,791.0,770.0,743.0,731.0,720.0,711.0,695.0,695.0,688.0,679.0
66,Guinea-Bissau,GNB,907.0,877.0,848.0,825.0,799.0,780.0,777.0,776.0,782.0,788.0,800.0,799.0,793.0,775.0,745.0,714.0,679.0,643.0,614.0,587.0,570.0,563.0,553.0,554.0,553.0,549.0
67,Guyana,GUY,171.0,170.0,171.0,173.0,190.0,205.0,216.0,219.0,214.0,213.0,210.0,211.0,208.0,208.0,220.0,232.0,226.0,217.0,200.0,176.0,241.0,239.0,239.0,236.0,233.0,229.0
68,Haiti,HTI,625.0,594.0,572.0,559.0,551.0,544.0,540.0,529.0,518.0,516.0,505.0,492.0,482.0,479.0,472.0,459.0,452.0,442.0,424.0,408.0,389.0,369.0,372.0,370.0,367.0,359.0
69,Honduras,HND,272.0,251.0,229.0,207.0,186.0,166.0,151.0,141.0,134.0,132.0,133.0,134.0,136.0,141.0,148.0,150.0,153.0,154.0,157.0,157.0,155.0,149.0,141.0,135.0,132.0,129.0
70,Hungary,HUN,24.0,23.0,23.0,24.0,21.0,20.0,18.0,17.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,16.0,15.0,16.0,15.0,16.0,16.0,16.0,16.0,17.0
71,Iceland,ISL,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0
72,India,IND,556.0,538.0,521.0,504.0,488.0,471.0,453.0,434.0,414.0,395.0,374.0,354.0,335.0,316.0,298.0,280.0,265.0,250.0,237.0,225.0,215.0,206.0,197.0,189.0,181.0,174.0
73,Indonesia,IDN,446.0,417.0,391.0,368.0,347.0,326.0,312.0,299.0,287.0,276.0,265.0,253.0,241.0,231.0,221.0,212.0,200.0,190.0,181.0,173.0,165.0,156.0,148.0,140.0,133.0,126.0
74,Iran,IRN,123.0,113.0,103.0,94.0,87.0,80.0,73.0,66.0,60.0,55.0,51.0,46.0,43.0,39.0,36.0,34.0,32.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,25.0
75,Iraq,IRQ,107.0,101.0,98.0,98.0,92.0,87.0,81.0,75.0,70.0,66.0,63.0,61.0,59.0,57.0,55.0,54.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,50.0,50.0,50.0
76,Ireland,IRL,11.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0
77,Israel,ISR,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
78,Italy,ITA,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
79,Jamaica,JAM,79.0,78.0,78.0,79.0,80.0,81.0,83.0,85.0,87.0,88.0,89.0,90.0,90.0,90.0,90.0,92.0,91.0,93.0,93.0,93.0,93.0,93.0,92.0,91.0,90.0,89.0
80,Japan,JPN,14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
81,Jordan,JOR,110.0,105.0,102.0,99.0,96.0,93.0,91.0,88.0,84.0,80.0,77.0,73.0,70.0,68.0,65.0,62.0,60.0,59.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,58.0
82,Kazakhstan,KAZ,78.0,77.0,80.0,87.0,86.0,92.0,91.0,87.0,81.0,72.0,65.0,60.0,54.0,50.0,46.0,44.0,41.0,37.0,30.0,24.0,20.0,17.0,15.0,13.0,12.0,12.0
83,Kenya,KEN,687.0,678.0,671.0,669.0,684.0,698.0,717.0,729.0,741.0,755.0,759.0,765.0,767.0,768.0,751.0,728.0,702.0,680.0,660.0,633.0,605.0,584.0,562.0,540.0,525.0,510.0
84,Kiribati,KIR,234.0,232.0,228.0,222.0,215.0,207.0,198.0,190.0,182.0,174.0,166.0,160.0,153.0,146.0,140.0,135.0,128.0,123.0,119.0,114.0,109.0,105.0,101.0,96.0,93.0,90.0
85,Kuwait,KWT,7.0,5.0,6.0,7.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
86,Kyrgyzstan,KGZ,80.0,82.0,79.0,82.0,89.0,92.0,85.0,78.0,77.0,72.0,74.0,72.0,81.0,82.0,81.0,85.0,90.0,89.0,89.0,89.0,84.0,87.0,81.0,79.0,77.0,76.0
87,Laos,LAO,905.0,863.0,819.0,774.0,734.0,695.0,664.0,632.0,602.0,573.0,546.0,519.0,493.0,468.0,444.0,418.0,392.0,366.0,341.0,316.0,294.0,271.0,250.0,230.0,213.0,197.0
88,Latvia,LVA,48.0,47.0,48.0,58.0,61.0,54.0,43.0,39.0,37.0,35.0,30.0,29.0,26.0,26.0,23.0,22.0,23.0,23.0,20.0,20.0,19.0,21.0,18.0,18.0,18.0,18.0
89,Lebanon,LBN,74.0,71.0,65.0,61.0,57.0,54.0,51.0,49.0,47.0,45.0,42.0,39.0,36.0,33.0,30.0,27.0,24.0,23.0,21.0,20.0,19.0,18.0,17.0,16.0,16.0,15.0
90,Lesotho,LSO,629.0,586.0,552.0,527.0,522.0,525.0,538.0,560.0,586.0,615.0,649.0,679.0,704.0,722.0,737.0,746.0,725.0,707.0,668.0,635.0,587.0,555.0,549.0,532.0,513.0,487.0
91,Liberia,LBR,1500.0,1640.0,1790.0,1850.0,1890.0,1800.0,1630.0,1480.0,1370.0,1300.0,1270.0,1260.0,1250.0,1200.0,1110.0,1020.0,935.0,890.0,851.0,829.0,811.0,798.0,787.0,762.0,741.0,725.0
92,Libya,LBY,39.0,35.0,32.0,29.0,27.0,25.0,23.0,21.0,20.0,18.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
93,Lithuania,LTU,29.0,29.0,28.0,29.0,31.0,28.0,26.0,21.0,20.0,18.0,16.0,16.0,14.0,14.0,12.0,12.0,13.0,12.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0
94,Luxembourg,LUX,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0
95,Macedonia,MKD,14.0,14.0,14.0,13.0,12.0,13.0,14.0,13.0,13.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0
96,Madagascar,MDG,778.0,761.0,738.0,709.0,676.0,644.0,612.0,584.0,561.0,544.0,536.0,531.0,527.0,522.0,519.0,508.0,495.0,482.0,468.0,453.0,436.0,420.0,402.0,384.0,369.0,353.0
97,Malawi,MWI,957.0,954.0,958.0,948.0,956.0,953.0,952.0,939.0,916.0,904.0,890.0,868.0,839.0,783.0,699.0,648.0,614.0,613.0,629.0,633.0,629.0,618.0,624.0,636.0,638.0,634.0
98,Malaysia,MYS,79.0,79.0,75.0,73.0,67.0,68.0,65.0,64.0,60.0,62.0,58.0,56.0,54.0,55.0,53.0,52.0,51.0,48.0,48.0,48.0,48.0,47.0,45.0,43.0,41.0,40.0
99,Maldives,MDV,677.0,594.0,505.0,425.0,370.0,340.0,289.0,276.0,244.0,206.0,163.0,149.0,146.0,136.0,114.0,101.0,87.0,93.0,96.0,96.0,87.0,82.0,76.0,70.0,69.0,68.0
100,Mali,MLI,1010.0,993.0,985.0,967.0,940.0,911.0,892.0,865.0,851.0,841.0,834.0,805.0,777.0,754.0,735.0,714.0,707.0,697.0,674.0,652.0,630.0,617.0,617.0,610.0,601.0,587.0
