Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),Smoking (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Low physical activity (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),High cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths),High body-mass index (obesity) (deaths)
Angola,AGO,2005,0.276013673812,267.24796172,7.2445938725,646.098272435,905.014284253,223.274745733,2582.37135151,1606.51251447,1437.12241355,1612.5234264,2058.25338552,296.452980457,608.681501705,903.338023465,1021.40591666,1151.84496822,4955.20261737,1849.04254543,1627.46147636
Angola,AGO,2006,0.283518817988,278.563996376,7.56690894623,731.303052871,931.721820974,226.112314788,2536.20208087,1622.59754882,1444.7736352,1616.31338785,2061.47025462,306.552457149,625.415579654,912.02863824,1017.34740451,1182.93203945,5079.56564261,1926.9687212,1733.42506237
Angola,AGO,2010,0.303018605965,318.470889564,8.52804467536,1058.84786577,1033.45992672,237.919876689,2452.60648155,1649.97503672,1366.04858998,1522.217015,1881.92231232,308.510469676,681.63667512,902.32857501,930.489744014,1286.96516436,5467.7055532,2234.01533234,2130.27480151
Angola,AGO,2016,0.376040335684,384.779950013,9.99273907356,1312.34672521,1243.51612072,260.20355717,2084.90354749,1947.5528639,1307.51742956,1392.1914849,1748.60661571,287.904387258,781.164213421,945.663242684,899.118610254,1513.49389357,6127.17221365,2640.67386153,2783.75312494
Antigua and Barbuda,ATG,1990,0.000698941838122,0.851853535817,0.508698831337,0.474010077232,4.92239017119,4.21134456458,2.23691302109,12.5235637641,1.11734960563,0.506022224474,0.660959507338,1.72555971501,10.7585278062,11.982140885,10.6163739734,23.1573707191,70.1484627032,54.555678871,29.6013337007
Antigua and Barbuda,ATG,1995,0.00071871220599,0.925053331759,0.629093461222,0.38320878382,4.14635560002,4.53520260271,1.59758661004,12.0495925036,1.02919563546,0.437602166476,0.640603159658,1.83141024137,10.5978742767,11.3206707307,9.91574431627,23.0352614376,68.3472662231,55.9842650121,30.5332506511
Antigua and Barbuda,ATG,2000,0.000691181223888,1.08770894544,0.855556255868,1.04800459262,4.27124524514,4.4017705597,1.18339565356,11.2701992088,0.936884078168,0.289345757418,0.507205366054,2.02929629488,9.92332670031,10.5719842969,9.56962749585,21.6490526006,66.6799130816,59.6753701914,31.0141067834
Antigua and Barbuda,ATG,2005,0.000613800382036,1.24314809876,0.968800719708,1.45902897314,3.56382344633,4.3698589879,0.98696232339,10.7739736908,0.913068623639,0.199979304379,0.386916050439,1.75737231463,10.1478760576,10.3031003427,8.81228191362,22.0238095341,66.816474038,62.7025752103,32.1210880459
Antigua and Barbuda,ATG,2006,0.00061466951516,1.25047348441,0.996923166142,1.56797317994,3.66350767335,4.44233454984,0.944182435132,10.5537297012,0.909985975119,0.194837886279,0.381254391166,1.77070337659,10.1170301517,10.2271394039,8.56770818194,22.0402098831,66.949091206,62.677620581,32.7295270678
Antigua and Barbuda,ATG,2010,0.000671874028927,1.23969108595,1.11137925376,2.15971914271,3.36717950649,3.96096045103,0.726328492917,9.10396450018,0.850231616251,0.178962747334,0.355860834153,1.73202011541,9.47036899538,9.34548049334,7.41733996462,20.6379406484,64.0528961657,58.6568257475,34.0955582215
Antigua and Barbuda,ATG,2016,0.000842158515395,1.20320302628,1.38716463189,2.73445066992,3.49572263429,3.88126666864,0.519647522857,10.2009146647,0.818415252254,0.170936091865,0.344730009873,1.8443784414,9.54782532344,9.37711144766,7.4351084579,20.7021470258,66.1848694284,58.3269852124,37.5649131928
Argentina,ARG,1990,0.260478391515,803.319487877,284.642548616,5061.62372113,14844.9480225,2714.15244991,2320.27307927,7454.07399048,253.787542783,106.170949199,144.386851284,659.842407555,5509.58849867,6358.24102864,5634.17206224,16187.8858485,43268.9501798,15681.0744603,14982.9854558
Argentina,ARG,1995,0.315421434904,836.556978845,358.633038217,3513.58891542,16323.3898737,2788.80506847,1757.07343352,7825.04391829,252.975842556,98.4409653537,145.675299614,756.084982051,5292.47587272,5901.10705495,4765.90652078,15663.4251251,43316.0201331,17560.6064012,16438.7061368
Argentina,ARG,2000,0.378662353753,1034.56763936,490.328663176,2260.94944605,19235.6127129,3270.02714199,1602.0981403,8919.08830721,293.455506921,95.1968876234,157.768231739,921.386807832,5456.17042525,5902.49842836,3902.72614603,16192.3570743,45454.9650051,19912.4598022,18719.9621338
Argentina,ARG,2005,0.462400870572,1182.01890823,644.229219142,1751.03916804,20361.1981898,3350.42113888,1445.08927314,9579.08570174,341.230104425,73.1003785607,147.153640598,1035.90812599,5666.42852382,6218.08632225,3938.43293457,16975.4485001,48123.6101996,21363.6882475,20418.8831095
Argentina,ARG,2006,0.46083860291,1204.8128655,672.390858136,1684.85643863,20504.061873,3343.26051104,1386.99399082,9646.0377576,346.535322129,69.4471889262,146.462473429,1050.20755879,5682.38073063,6222.78775648,3851.24537759,17105.7697907,48514.7890645,21449.2295573,20664.309631
Argentina,ARG,2010,0.433100378121,1258.4184907,812.107163382,1729.6055611,21261.4141894,3440.21739267,1141.4957818,10041.5934826,364.23156793,58.5980859512,146.904341338,1100.42715398,5959.4165712,6325.79403712,3552.33279994,18114.521951,51063.1134806,22080.908536,22050.037324
Argentina,ARG,2016,0.547164436646,1367.60564864,1110.48137831,3121.93247338,22331.4340845,3445.18408665,817.474684041,10427.7030671,356.992570012,47.2980158468,142.898596411,1112.33221877,6240.62491372,6234.63498449,3269.55616326,18834.4324762,53849.6196652,23275.9070818,24660.5325775
Armenia,ARM,1990,0.176463891054,41.1128388955,19.9444837213,129.04146766,994.788067234,447.677837441,974.142924366,808.266406671,2.71145746845,2.8511989768,3.07592000509,23.6096637654,666.760962472,489.351594816,742.179812882,1846.28464191,4487.87576112,990.043013325,899.811935113
Armenia,ARM,1995,0.185569891554,32.0114644933,28.2875364547,146.699676724,1131.53676964,499.890760651,918.435579269,825.384345157,3.14949526798,3.54173838496,3.93632177244,27.5705296866,751.434939237,593.768724029,896.189412611,2064.54776496,5051.10727563,1274.8527217,1063.04306956
Armenia,ARM,2000,0.247815802493,31.8080680407,50.8115621409,187.010168951,1654.27663554,617.329275322,718.71003758,1012.82703152,3.41018433907,2.78528026292,3.15421451313,40.2546266335,838.198005404,642.152621646,1140.92716981,2237.63272829,5790.08128325,1741.91624002,1441.15494047
Armenia,ARM,2005,0.0861509973068,37.8029161788,81.3215715024,264.663499162,2086.81828514,629.208658152,733.07274081,1207.78139222,4.46864077087,1.36793058126,1.55497674181,45.8032804116,919.520301902,413.092723831,1178.4562035,2469.94984388,6370.1678821,2182.15669755,1814.22415131
Armenia,ARM,2006,0.0545093985965,40.4558270281,91.6312814402,301.750056092,2237.02389465,652.353068946,731.332181765,1269.93008885,4.91142895907,1.2137778931,1.37550087889,48.6742316803,945.586018794,365.739324968,1189.71649311,2554.10137506,6551.9864533,2265.91685419,1924.38035198
Armenia,ARM,2010,0.0412669703454,46.0617368219,112.306774334,404.805274751,2382.19261537,666.514195386,550.095904258,1391.18182734,5.68043113445,1.04326574609,1.15840327651,53.9387248756,994.020977983,188.479863615,1071.09582703,2745.07660975,6761.54015324,2464.03205708,2201.55866381
Armenia,ARM,2016,0.0453476869221,47.2870324476,110.285749292,482.873916898,1769.19372665,626.502506297,392.786318465,1271.58244364,5.03595798343,0.924199620428,1.00772783632,43.1770915178,966.905933011,184.328534574,880.332831642,2810.66619389,6328.22211063,2199.84252217,2072.6353645
Australasia,,1990,0.316861445289,850.641017597,51.4369744045,2613.25046679,13822.8232982,921.128514597,189.863137612,3045.42593787,30.3539306337,4.40948931514,6.45335473873,223.05579075,5010.9688325,4455.19627785,4056.08182534,15419.231766,27459.0625402,9147.76868798,9050.33456423
Australasia,,1995,0.378624902961,939.757418785,84.9334581041,1569.95001943,14736.5718938,940.840376805,84.6641186552,3198.57606646,34.4174849592,5.74617942421,9.66527590684,231.417068115,5250.97319662,4518.93692722,4375.93993407,15292.7439108,28414.1518648,10540.7432015,10515.7435684
Australasia,,2000,0.462156069393,1164.93150024,136.684040846,1116.97701794,14819.0016268,942.318321261,78.5944674698,3115.59653014,37.3948938633,5.25639356943,10.7116737251,216.552758618,5103.00265102,4357.48782466,4459.43533749,14123.7935508,26958.8495903,11234.2788993,11387.1967216
Australasia,,2005,0.496387181673,1531.51588128,193.536558481,1499.31490691,14462.4163703,895.279032911,81.9903967196,2833.77044472,42.0777717422,6.66071472054,18.3465024494,214.417336498,4877.40616089,4049.58662977,4266.44210628,13056.7481756,24962.9170931,11879.4417122,12395.7114903
Australasia,,2006,0.656917157863,1627.88992729,210.176527661,1585.94090256,14682.2591866,893.285503232,80.8084667049,2754.48155132,44.4968018545,7.56388307728,21.685307072,219.414151515,4904.02339486,4047.42772579,4290.43134784,13029.8349219,25041.9099486,12208.8671942,12776.5373383
Australasia,,2010,0.978038513334,2006.90739218,290.059631947,2176.10376744,15539.8664852,846.442367368,66.8185872001,2393.17616551,52.1829416062,9.96403783789,34.8761006534,230.191527222,4864.88138354,3891.08575662,4268.96975744,12513.0142871,24619.7883743,12875.9129697,13696.0916997
Australasia,,2016,1.49709307259,2459.42049043,429.034314413,2887.30464181,17298.4715028,944.806173851,57.3588657977,2794.47309643,66.0399144909,11.0611270463,49.75148643,244.856299133,5429.26100428,4281.95617427,4709.43923773,13840.6911346,27723.4886312,14662.8066247,15817.3405612
Australia,AUS,1990,0.26750954699,679.90579149,48.0286924273,2372.27845387,11184.6128144,775.870967197,154.699366492,2545.33265631,19.4081655681,3.07626289132,4.5729135868,181.301540951,4201.6330619,3802.61119133,3439.39194826,13142.7194491,22736.2620555,7779.19935876,7517.96538797
Australia,AUS,1995,0.322513364723,756.024736578,79.1741197586,1454.56179008,12002.8151035,797.996560474,68.048224659,2680.99946739,25.0908205811,4.8538545109,8.22741717665,190.087169426,4397.68084593,3847.62653854,3724.57971879,12990.5104058,23560.6911242,8993.52095547,8816.36117838
