Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Smoking (deaths),Secondhand smoke (deaths),Low physical activity (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),High body-mass index (obesity) (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High total cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths)
Georgia,GEO,2000,1.10576970918,5.71153916985,116.037889769,516.919739904,3.3912281269,3.76355196385,3.11458196951,1002.10785858,66.0788271219,83.7926379781,505.085787321,361.215238718,52.5492395932,699.488871099,393.469592134,342.444503841,721.462162111,1040.57922668,188.427727912
Georgia,GEO,2005,1.1063438345,7.8813487445,105.444100915,571.341039538,2.42333641947,1.84889288647,1.54426373553,1036.44751736,63.7965472048,75.3344759345,483.139519728,339.188493335,61.0086382951,748.314302957,401.928244127,331.407454614,648.603447642,1050.29027751,208.616951963
Georgia,GEO,2006,1.10977879439,8.06788797093,103.483359951,583.869078752,2.22441733751,1.31976724943,1.11569111098,1004.60214401,59.5840930141,71.6314936441,461.874950241,325.291030124,60.379391806,731.398750165,384.145385518,323.936733676,621.696947955,1021.11520693,205.774927382
Georgia,GEO,2010,1.46652807443,9.13382441184,115.768382834,644.810795173,1.82575156547,1.23754914319,1.11735413514,936.845111789,50.216488543,63.5468126186,393.730443094,279.35883507,67.4259532903,674.747918127,314.008320838,300.998798023,550.716011156,901.716406947,211.493963756
Georgia,GEO,2016,1.3919649628,8.30879973838,118.970085666,605.790417357,1.36095512881,1.00898868432,0.943132325661,684.721020439,33.6354803839,46.3626850591,273.787872556,187.817726565,61.2850790187,509.554696647,191.924614889,214.807766118,403.620845951,651.033976196,180.456692647
Germany,DEU,1990,7.9150424757,118.42396371,2747.12876715,12207.6535091,4.58552288533,1.79801782015,1.4986120318,9430.96465912,370.71952796,706.868913146,2460.76636996,2129.96282644,1720.53964566,4397.23531545,168.822072155,2231.88578593,5691.98135441,6829.05438883,1533.12372587
Germany,DEU,1995,4.10242162505,105.73573198,2895.38053572,11541.1207491,4.22988156352,1.43387007397,1.07827906882,8105.93964075,321.07787529,588.834119204,2191.33954799,1731.72271099,2117.05584886,3957.51979803,102.348669557,1753.81249392,4582.14972735,5632.96924223,1393.25472983
Germany,DEU,2000,3.3148708413,105.273219118,2782.81318939,10178.2260028,4.22737994435,1.53646696891,0.993982455448,7573.1485803,284.739129609,532.703315765,1981.68942316,1476.29055699,963.135104076,3769.59786694,77.9178195619,1515.05002124,4012.74936146,4925.8693995,1345.63724735
Germany,DEU,2005,3.24904379797,94.7089840858,2358.41189954,8350.78022456,4.27244014979,2.29487662095,1.36993431473,6754.75037587,241.196223741,470.478787159,1748.85256235,1246.03682392,789.462144135,3401.2710982,60.4323192778,1291.12974338,3416.7866668,4032.93130092,1225.83483007
Germany,DEU,2006,3.3075377355,91.9361502811,2288.169796,7965.05657757,4.27024653457,2.46036793955,1.45662252297,6468.66209113,231.187617028,450.872243307,1674.40712902,1182.09435119,757.372151207,3290.72016814,56.4255378374,1239.44886603,3258.6650814,3806.54665641,1190.55923196
Germany,DEU,2010,3.16843313629,77.1732289002,2072.16445691,6626.04058518,4.31353524068,3.09533236661,1.78911440499,5272.99295051,194.889916212,368.860501016,1350.47779451,921.980955345,658.603043015,2808.31323365,39.735328495,1017.32738151,2577.80306042,2922.83465085,1049.58403597
Germany,DEU,2016,2.83036821437,61.0919279684,1856.29551634,5437.96079009,3.69968895403,2.67456068222,1.5012578266,4097.61136992,155.782852792,288.989668967,1034.28041414,705.653310326,494.898650391,2347.70536794,24.2704270574,786.501969137,2000.58426454,2265.39500641,859.921601902
Ghana,GHA,1990,160.943346145,21.805195473,122.757303943,3104.4226058,761.089404699,995.704636024,871.619206183,406.115797004,86.1712892565,54.7273550982,503.099535492,487.106477793,3088.92768932,391.289283166,1471.63640276,842.052630643,497.275017202,1391.98184577,538.566931386
Ghana,GHA,1995,169.571421345,24.9079014696,272.003299633,3164.67332547,783.295656372,989.718377126,868.551979299,423.848112289,88.5976118351,61.429215728,481.188787615,503.353729717,7638.64493846,572.633295832,1590.73478668,917.772181988,549.553214552,1517.33350569,624.508358272
Ghana,GHA,2000,163.744625838,26.6405830774,466.098999123,3374.08225162,809.636747086,892.994964591,778.029681861,630.841818033,131.412550902,89.1200422815,581.688342643,717.057542796,13398.0449319,1076.6522381,2095.65081313,1260.42410369,854.82916107,2147.42061075,780.841129464
Ghana,GHA,2005,164.119943281,33.7923471885,521.059466888,3761.19155572,838.3333803,804.367225877,679.880202192,726.839021971,143.959453705,106.64833181,560.480183049,835.263628702,17201.9666603,1676.79602511,2420.17728422,1282.91033642,992.110650568,2389.25449454,1011.78828515
Ghana,GHA,2006,160.959936048,36.501520301,565.084916544,3891.59568889,840.49577522,791.189042977,665.634566942,734.513996548,138.34709128,109.094364326,547.845571335,854.72795325,17328.5638236,1783.21550968,2459.51210439,1313.90816126,1012.15443831,2441.4603904,1061.45443451
