Entity,Code,Year,Discontinued breastfeeding (deaths),Non-exclusive breastfeeding (deaths),Child stunting (deaths),Low birth weight (deaths),Drug use (deaths),No access to handwashing facility (deaths),Secondhand smoke (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),High blood sugar (deaths),Child wasting (deaths),Iron deficiency (deaths)
El Salvador,SLV,2000,23.2213275388,250.322260564,161.831588584,805.601122077,0.0198277321254,179.370232399,53.8001325821,300.775654839,344.446767984,191.86437725,199.345880535,0.861450238199,0.240129166052,3.64241765228,726.183642786,0.0843535171815
El Salvador,SLV,2005,10.5935494123,118.511531059,69.5547570007,543.467898765,0.019280388188,78.8861055227,30.8510859105,130.946607225,150.477894909,84.4346621077,108.386908847,0.47655976776,0.194045673105,2.63447238028,352.794341694,0.0772758418293
El Salvador,SLV,2006,8.11581763156,96.3391471496,57.146878862,499.487015836,0.0190544576777,62.629198163,27.8580932638,99.5562010645,114.686968351,71.6117209192,95.4775803471,0.435638080983,0.18837577193,2.50616695707,302.147814565,0.0766117546702
El Salvador,SLV,2010,4.53057425497,58.0408666411,32.285297817,381.010161816,0.0180212431309,36.0680255666,19.9714522558,55.5386484875,63.3832911489,38.9939614008,60.4070259422,0.346438646224,0.166547274378,2.06470115214,198.766356658,0.0708192370202
El Salvador,SLV,2016,2.88580020946,35.4077137104,16.4065596092,244.52774383,0.0137940296651,20.2668725503,11.0282833029,33.5847155148,37.2540592812,16.3217076171,37.9503582437,0.241724876334,0.121412649936,1.42474540613,123.235373043,0.0634365193056
England,,1990,2.46201391554,62.0759365413,12.9558634906,1669.36834455,0.085027920762,3.59374354628,56.5990127022,0.624758257405,3.31504422698,9.8963295349,47.5090172228,1.26766757688,0.459375930751,4.78560437432,76.329205925,0.162254686622
England,,1995,1.97169421124,43.3785100954,8.12082507543,1373.32696065,0.0768988573138,2.47264831414,34.0445141494,0.349938093795,2.04295731933,3.37161184256,31.2456589808,0.826611936934,0.42028879632,3.06395984816,53.1967117637,0.163389579624
England,,2000,2.70337401479,39.0246367212,6.3468652387,1222.5263586,0.0810018523701,2.26218312745,24.5757114612,0.326864800715,2.18787788203,1.67983558017,24.2043957312,0.75187413594,0.391340357103,2.48328330854,45.7361137207,0.167373259947
England,,2005,3.26980582464,34.5156092223,5.02040352661,1217.80252181,0.10346318269,2.11455022814,18.7843352063,0.335678496644,2.35003643858,0.937844945803,18.0537097629,0.594691958922,0.364470801355,2.12805097956,37.2375726027,0.172166429222
England,,2006,3.45589365545,35.6998764207,5.1195660603,1252.29269256,0.112817338629,2.19985457136,19.386544873,0.350221091325,2.46556353348,0.900872682118,18.4321266431,0.612468809068,0.37406070012,2.12181216875,38.1967346453,0.175966394032
England,,2010,2.82181166592,30.1231460205,4.4578822627,1137.42601221,0.132282047869,1.88534545822,17.2622945648,0.265890950257,1.92375232445,0.626390657517,16.3741401005,0.545960499076,0.379668492683,1.86388556441,33.7268609381,0.182117685998
England,,2016,2.02616033363,23.7500119422,3.56959108335,982.643611212,0.133699688914,1.46922580472,14.1833579436,0.168168017077,1.27335899561,0.404167037839,13.2446589199,0.464804268892,0.357697719468,1.52354072332,27.7142118567,0.171464479339
Equatorial Guinea,GNQ,1990,3.230245145,95.4414226053,313.790228135,307.187188874,0.00278334765993,176.044077327,38.4573417713,150.957339474,174.509251763,276.973571923,149.98038275,0.542444705139,0.0563412078164,0.17545915883,670.061002481,0.00735648765974
Equatorial Guinea,GNQ,1995,2.44281985121,82.0606179384,297.296098372,328.442729712,0.00317674438625,154.281229507,34.455329085,114.620566477,132.212483214,279.993220364,154.915661019,0.610242228247,0.0614046414525,0.189956792727,665.677057994,0.00725927259287
Equatorial Guinea,GNQ,2000,1.32854566494,42.1374106844,114.297698602,242.051890427,0.00285037156523,69.1631328089,18.0366114605,38.0229156003,45.2225474837,140.933396415,89.9934170502,0.44717604794,0.0373218913942,0.128671651838,345.433957083,0.00759255406182
Equatorial Guinea,GNQ,2005,1.68258601413,32.7529498318,41.269644167,205.043677986,0.00288203939995,46.1872020238,9.88918786674,29.0401027771,38.3301078112,71.4661814249,44.7399397776,0.30090293602,0.0212431090816,0.089982080414,174.998529346,0.0073558658203
Equatorial Guinea,GNQ,2006,0.737737016835,25.6924653064,29.9718756311,201.768284925,0.00310671692993,35.333961484,10.5009937969,12.1026745819,16.3753683113,75.308218075,48.2888144557,0.348929652418,0.0241321294029,0.10206231901,160.717481081,0.00912954480394
Equatorial Guinea,GNQ,2010,0.658347016607,24.9885860883,24.2549487151,196.930008003,0.00375568366142,31.2628506413,9.93100739814,8.74734511617,12.8989882677,65.8360403167,46.1908793142,0.329815398077,0.0232665701505,0.105902346699,151.537770137,0.0111912325452
Equatorial Guinea,GNQ,2016,0.435086288561,13.9381090307,11.8155403196,168.735928402,0.00350447407551,16.4561751058,5.68925261941,5.38807180749,8.58683742099,28.6931138723,29.7917860785,0.120567341632,0.00994841282991,0.0544107122793,73.6266390282,0.00838624966337
Eritrea,ERI,1990,68.1573356599,771.995729473,2597.99725534,1168.63731201,0.0107099993477,2716.99194632,221.159117943,3524.20823893,3988.33616487,1482.56696498,792.116906577,1.40267774621,0.422356711406,0.803129856475,9442.99743177,0.0441936633426
Eritrea,ERI,1995,41.2083668217,449.018993353,1575.46533782,977.143921603,0.0103927971932,1600.60273532,172.798613403,1936.20241471,2195.64025598,1152.52073166,635.444646423,1.25345741198,0.344099965004,0.730153722856,6311.10713802,0.04945084984
Eritrea,ERI,2000,25.0972113338,323.398548095,865.285662406,992.993891116,0.0125384755608,1039.12973228,164.879950495,1122.19809468,1274.51801312,947.947195551,578.434896045,1.01892209946,0.295909439117,0.71603112292,4515.61205394,0.0582296031092
Eritrea,ERI,2005,28.4949277709,363.579555551,634.611211192,1149.02781549,0.0161898007909,1153.91952401,159.944107951,1256.51355823,1423.52900864,938.68114152,594.569542212,1.16145115757,0.324900708012,0.82942437633,4488.93182317,0.0846476721721
Eritrea,ERI,2006,28.6850723249,365.796283326,635.190851883,1161.5013602,0.0166461809072,1167.7170664,159.449213966,1276.53659637,1446.33331408,921.474954921,600.821966022,1.17610129722,0.321539242726,0.832152812797,4516.48493048,0.0881795069474
Eritrea,ERI,2010,27.3272056903,340.422054055,599.543059672,1143.79173893,0.0177015462753,1121.65360076,150.282714686,1252.69741912,1427.41199587,756.698972851,557.758150463,1.08982134611,0.275024313958,0.762293350151,4233.23891889,0.0958570464583
Eritrea,ERI,2016,17.693612682,216.525867854,330.814386508,929.857356108,0.0167319566803,728.094355581,93.7239612109,778.036189232,906.985886919,454.62210397,429.512963452,0.818089702566,0.176858613627,0.554346895896,2762.02090619,0.102284307367
Estonia,EST,1990,0.341489373526,5.58847530973,2.62612171004,38.2157281009,0.00271080659859,0.93785957285,6.0436638254,1.29906231854,2.13719861694,3.61702165018,3.44847365327,0.00238438543114,0.0107996933003,0.147691444181,18.8410627643,0.0630146651755
Estonia,EST,1995,0.179078991817,4.31154091896,2.13998593729,23.7327762662,0.0019652123619,0.666965772625,5.14162688875,0.650764989621,1.14210363561,3.05324165651,2.28789335364,0.00133385147799,0.00782740539229,0.109681150311,14.1294514427,0.0192171454808
Estonia,EST,2000,0.0738246458936,2.27846315928,0.909942625083,15.7859642489,0.00177045763037,0.308481756974,2.80747744298,0.260233210365,0.460215923295,1.57184924182,1.08524688055,0.000598361805255,0.00493157174985,0.0657198731324,7.14208962767,0.0129539901717
Estonia,EST,2005,0.0299836460071,1.27092317871,0.403188851013,13.259704832,0.00213798348474,0.15036455315,1.65714055274,0.110757219941,0.181096540358,0.879718132778,0.628349706229,0.000596281679003,0.00433399677503,0.0595510013849,3.92603951332,0.010832199241
Estonia,EST,2006,0.0237946582514,0.988811661057,0.305404422682,12.2516136386,0.00217974171084,0.116966580231,1.32153172228,0.0886082310607,0.142494851009,0.66824703574,0.496410117855,0.000573623004092,0.00393583867966,0.0505197437402,3.06443008927,0.0118563531448
Estonia,EST,2010,0.0321436325428,0.972600661633,0.284708409891,8.17049055049,0.00243350613703,0.112021991339,1.32331336489,0.115783206044,0.178175110032,0.563250173167,0.482884037094,0.000717553144696,0.00445797162723,0.0502414497391,3.01412511962,0.0140364766125
